set,rarity,title,count,price,price_trend
RAV,common,Shambling Shell,2,0.02,0.21
MB1,common,Catacomb Slug,1,0.02,0
RTR,common,Auger Spree,1,0.02,0.06
RTR,common,Launch Party,1,0.02,0.02
FRF,common,Harsh Sustenance,1,0.02,0.07
ISD,common,Traveler's Amulet,4,0.02,0.11
KTK,common,Disowned Ancestor,1,0.02,0.04
9ED,common,Scathe Zombies,1,0.02,0.04
MB1,common,Alesha's Vanguard,1,0.02,0
AVR,common,Scroll of Griselbrand,1,0.02,0.05
DGM,common,Sinister Possession,1,0.02,0.06
RAV,common,Woodwraith Strangler,3,0.02,0.02
ALL,common,Fevered Strength,2,0.02,0
AER,uncommon,Ravenous Intruder,1,0.02,0.07
RTR,common,Goblin Electromancer,1,0.02,0.2
MM3,common,Pilfered Plans,1,0.02,0.15
RTR,common,Common Bond,1,0.02,0.07
THS,common,Disciple of Phenax,1,0.02,0.02
RTR,common,Rakdos Shred-Freak,1,0.02,0.03
ARB,common,Naya Sojourners,1,0.02,0.04
CMD,common,Izzet Chronarch,5,0.02,0.17
ICE,rare,Pentagram of the Ages,1,0.03,0.34
FRF,common,Cunning Strike,2,0.01,0.06
MMA,common,Aether Spellbomb,1,0.02,0.21
GPT,common,Leap of Flame,1,0.02,0.05
DDU,common,Pyrite Spellbomb,1,0.02,0.14
MRD,common,Sunbeam Spellbomb,1,0.02,0.15
ME1,common,Feast or Famine,1,0.02,0
ALL,common,Stench of Decay,1,0.02,0
LRW,common,Warren Pilferers,1,0.02,0.06
BNG,common,Grisly Transformation,1,0.02,0.03
ALL,common,Feast or Famine,3,0.02,0
DKM,common,Phantasmal Fiend,1,0.02,0
ME3,common,Fevered Strength,1,0.02,0
5ED,common,Amulet of Kroog,1,0.02,0.02
DDN,common,Hussar Patrol,1,0.02,0.03
CN2,common,Death Wind,1,0.02,0.11
CMD,common,Selesnya Evangel,1,0.02,0.1
FRF,common,Alesha's Vanguard,1,0.02,0.02
MB1,common,Unyielding Krumar,1,0.02,0
4ED,rare,Aladdin's Lamp,1,0.08,0.22
MBS,common,Shriekhorn,1,0.02,0.55
DDF,common,Moonglove Extract,2,0.02,0.05
9ED,common,Highway Robber,1,0.02,0.03
GTC,common,Hydroform,1,0.02,0.05
GPT,common,Douse in Gloom,2,0.02,0.02
ALL,common,Casting of Bones,1,0.02,0
,,Not found,34,0.02,0
GPT,common,Pillory of the Sleepless,3,0.02,0.1
DDF,common,Aether Spellbomb,1,0.02,0.12
ISD,common,Skeletal Grimace,1,0.02,0.1
MRD,common,Tanglebloom,2,0.02,0.04
M15,uncommon,Stab Wound,1,0.02,0.08
MMQ,common,Undertaker,1,0.02,0.17
ONS,common,Disciple of Malice,1,0.02,0.09
GPT,common,Petrahydrox,4,0.02,0.07
CST,common,Casting of Bones,2,0.02,0
FRF,common,War Flare,1,0.02,0.06
DDU,common,Mycosynth Wellspring,1,0.02,0.09
MB1,common,Disowned Ancestor,1,0.02,0
M15,common,Tyrant's Machine,3,0.02,0.03
THS,common,Scourgemark,1,0.02,0.03
DKA,common,Spiteful Shadows,1,0.02,0.06
LRW,common,Hornet Harasser,1,0.02,0.02
KTK,common,Lens of Clarity,1,0.02,0.07
LRW,common,Nath's Buffoon,1,0.02,0.04
MRD,common,Galvanic Key,1,0.02,0.03
LRW,common,Quill-Slinger Boggart,2,0.02,0.03
